nohup: ignoring input
═══════════════════════════════════════════════════
 Speech Separation Training — tasnet
═══════════════════════════════════════════════════
 Device:     CUDA
 Data:       ./data/Libri2Mix/Libri2Mix/wav8k/min/train-360
 Epochs:     100
 Batch:      4 (effective 4 with 1x accum)
 LR:         0.001 (warmup 5 epochs, min 1e-06)
 SR:         8000 Hz
 Segment:    32000 (4s)
 Workers:    4
 Augment:    yes
 Ckpt dir:   ./checkpoints
═══════════════════════════════════════════════════

  [GPU] CUDA device available, 1 GPU(s)
Train CSV: ./data/Libri2Mix/Libri2Mix/wav8k/min/train-360/mixture_train-360_mix_clean.csv
Val CSV:   ./data/Libri2Mix/Libri2Mix/wav8k/min/dev/mixture_dev_mix_clean.csv
[LibriMix] 50800 examples from ./data/Libri2Mix/Libri2Mix/wav8k/min/train-360/mixture_train-360_mix_clean.csv
[LibriMix] CSV columns: mix=1 s1=2 s2=3
Parameters: 8.20173M

  [GPU] CUDA device available, 1 GPU(s)

  [Ep   1/100] 16.7% │ SI-SNR: 3.53 dB │ Loss: -3.5293 │ 977s │ LR: 2e-04       
  [Ep   1/100] 16.9% │ SI-SNR: 3.55 dB │ Loss: -3.5480 │ 989s │ LR: 2e-04       
  [Ep   1/100] 17.1% │ SI-SNR: 3.56 dB │ Loss: -3.5601 │ 1000s │ LR: 2e-04       
  [Ep   1/100] 17.3% │ SI-SNR: 3.58 dB │ Loss: -3.5836 │ 1012s │ LR: 2e-04       
  [Ep   1/100] 17.5% │ SI-SNR: 3.60 dB │ Loss: -3.6028 │ 1023s │ LR: 2e-04       
  [Ep   1/100] 17.7% │ SI-SNR: 3.62 dB │ Loss: -3.6197 │ 1035s │ LR: 2e-04       
  [Ep   1/100] 17.9% │ SI-SNR: 3.63 dB │ Loss: -3.6344 │ 1046s │ LR: 2e-04       
  [Ep   1/100] 18.1% │ SI-SNR: 3.65 dB │ Loss: -3.6517 │ 1058s │ LR: 2e-04       
  [Ep   1/100] 18.3% │ SI-SNR: 3.68 dB │ Loss: -3.6807 │ 1069s │ LR: 2e-04       
  [Ep   1/100] 18.5% │ SI-SNR: 3.68 dB │ Loss: -3.6828 │ 1081s │ LR: 2e-04       
  [Ep   1/100] 18.7% │ SI-SNR: 3.69 dB │ Loss: -3.6867 │ 1092s │ LR: 2e-04       
  [Ep   1/100] 18.9% │ SI-SNR: 3.70 dB │ Loss: -3.7003 │ 1104s │ LR: 2e-04       
  [Ep   1/100] 19.1% │ SI-SNR: 3.72 dB │ Loss: -3.7165 │ 1115s │ LR: 2e-04       
  [Ep   1/100] 19.3% │ SI-SNR: 3.73 dB │ Loss: -3.7262 │ 1127s │ LR: 2e-04       
  [Ep   1/100] 19.5% │ SI-SNR: 3.73 dB │ Loss: -3.7336 │ 1138s │ LR: 2e-04       
  [Ep   1/100] 19.7% │ SI-SNR: 3.76 dB │ Loss: -3.7561 │ 1150s │ LR: 2e-04       
  [Ep   1/100] 19.9% │ SI-SNR: 3.79 dB │ Loss: -3.7898 │ 1161s │ LR: 2e-04       
  [Ep   1/100] 20.1% │ SI-SNR: 3.81 dB │ Loss: -3.8108 │ 1173s │ LR: 2e-04       
  [Ep   1/100] 20.3% │ SI-SNR: 3.82 dB │ Loss: -3.8222 │ 1184s │ LR: 2e-04       
  [Ep   1/100] 20.5% │ SI-SNR: 3.84 dB │ Loss: -3.8398 │ 1196s │ LR: 2e-04       
  [Ep   1/100] 20.7% │ SI-SNR: 3.86 dB │ Loss: -3.8572 │ 1207s │ LR: 2e-04       
  [Ep   1/100] 20.9% │ SI-SNR: 3.87 dB │ Loss: -3.8656 │ 1219s │ LR: 2e-04       
